"LE_MET_level6","fishing_hours","Benthis_metiers","Benthis_metiers_2016_Wrong","Metier_level5","Metier_level4","JNCC_grouping","Fishing_category","Description","Fishing_category_FO","ID"
"GND_DEF_60_79_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",57
"GND_DEF_80_99_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",58
"GND_DEF_90_99_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",59
"GND_DEF_>=100_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",60
"GND_DEF_>=220_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",61
"GND_DEF_NA_0_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",62
"GND_FWS_0_0_0",NA,NA,NA,"GND_FWS","GND",NA,"Static","Drift_gillnets","Static",63
"GND_LPF_0_0_0",NA,NA,NA,"GND_LPF","GND",NA,"Static","Drift_gillnets","Static",64
"GNS_DEF_0-0_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",65
"GNS_DEF_0_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",66
"GNS_DEF_0_40_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",67
"GNS_DEF_10-30_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",68
"GNS_DEF_100-109_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",69
"GNS_DEF_100-119_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",70
"GNS_DEF_100_119_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",71
"GNS_DEF_10_30_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",72
"GNS_DEF_110-156",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",73
"GNS_DEF_110-156_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",74
"GNS_DEF_110-156_0_0_",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",75
"GNS_DEF_110-156_0_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",76
"GNS_DEF_110_156_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",77
"GNS_DEF_120-219",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",78
"GNS_DEF_120-219_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",79
"GNS_DEF_120_219_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",80
"GNS_DEF_1249",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",81
"GNS_DEF_149",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",82
"GNS_DEF_157-219_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",83
"GNS_DEF_31-49_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",84
"GNS_DEF_349",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",85
"GNS_DEF_40_49_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",86
"GNS_DEF_50-59_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",87
"GNS_DEF_50-70_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",88
"GNS_DEF_50_59_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",89
"GNS_DEF_50_70_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",90
"GNS_DEF_60-69_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",91
"GNS_DEF_60-79_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",92
"GNS_DEF_60_79_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",93
"GNS_DEF_624",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",94
"GNS_DEF_70-79_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",95
"GNS_DEF_71-89_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",96
"GNS_DEF_80-89_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",97
"GNS_DEF_80-99_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",98
"GNS_DEF_80_99_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",99
"GNS_DEF_874",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",100
"GNS_DEF_90-109_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",101
"GNS_DEF_90-99",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",102
"GNS_DEF_90-99_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",103
"GNS_DEF_90_99_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",104
"GNS_DEF_<10_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",105
"GNS_DEF_>=100_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",106
"GNS_DEF_>=100_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",107
"GNS_DEF_>=157_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",108
"GNS_DEF_>=220",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",109
"GNS_DEF_>=220_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",110
"GNS_DEF_>=220_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",111
"GNS_DEF_UND_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",112
"GNS_DEF_UNK",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",113
"GNS_DEF_misc_0_0",NA,NA,NA,"GNS_DEF","GNS",NA,"Static","Gillnet","Static",114
"GNS_DWS_0",NA,NA,NA,"GNS_DWS","GNS",NA,"Static","Gillnet","Static",115
"GNS_DWS_0_0_0",NA,NA,NA,"GNS_DWS","GNS",NA,"Static","Gillnet","Static",116
"GNS_DWS_100-119_0_0",NA,NA,NA,"GNS_DWS","GNS",NA,"Static","Gillnet","Static",117
"GNS_DWS_120-219_0_0",NA,NA,NA,"GNS_DWS","GNS",NA,"Static","Gillnet","Static",118
"GNS_DWS_>=220_0_0",NA,NA,NA,"GNS_DWS","GNS",NA,"Static","Gillnet","Static",119
"GNS_FIF_0_0_0",NA,NA,NA,"GNS_FIF","GNS",NA,"Static","Gillnet","Static",120
"GNS_FWS_0_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",121
"GNS_FWS_10-30_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",122
"GNS_FWS_100-109_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",123
"GNS_FWS_110-156_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",124
"GNS_FWS_157-219_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",125
"GNS_FWS_31-49_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",126
"GNS_FWS_50-59_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",127
"GNS_FWS_60-69_0_0",NA,NA,NA,"GNS_FWS","GNS",NA,"Static","Gillnet","Static",128
"GN_DEF_349",NA,NA,NA,"GN_DEF","GN",NA,"Static","Gillnet","Static",129
"GN_DEF_624",NA,NA,NA,"GN_DEF","GN",NA,"Static","Gillnet","Static",130
"GN_DWS_0",NA,NA,NA,"GN_DWS","GN",NA,"Static","Gillnet","Static",131
"GN_DWS_349",NA,NA,NA,"GN_DWS","GN",NA,"Static","Gillnet","Static",132
"GN_UNK_0",NA,NA,NA,"GN_UNK","GN",NA,"Static","Gillnet","Static",133
"GTN_DEF_0_0_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",134
"GTN_DEF_0_40_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",135
"GTN_DEF_10_30_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",136
"GTN_DEF_120_219_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",137
"GTN_DEF_50_59_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",138
"GTN_DEF_50_70_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",139
"GTN_DEF_60_79_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",140
"GTN_DEF_80_99_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",141
"GTN_DEF_90_99_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",142
"GTN_DEF_>=100_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",143
"GTN_DEF_>=220_0",NA,NA,NA,"GTN_DEF","GTN",NA,"Static","Gillnet","Static",144
"GTN_LPF_0_0_0",NA,NA,NA,"GTN_LPF","GTN",NA,"Static","Gillnet","Static",145
"GTN_LPF_>=100_0",NA,NA,NA,"GTN_LPF","GTN",NA,"Static","Gillnet","Static",146
"GTN_UND_90-99_0_0",NA,NA,NA,"GTN_UND","GTN",NA,"Static","Gillnet","Static",147
"GTR_ANA_0_0_0",NA,NA,NA,"GTR_ANA","GTR",NA,"Static","Trammel","Static",148
"GTR_ANA_>=157_0_0",NA,NA,NA,"GTR_ANA","GTR",NA,"Static","Trammel","Static",149
"GTR_CAT_NA_0_0",NA,NA,NA,"GTR_CAT","GTR",NA,"Static","Trammel","Static",150
"GTR_CEP_0_0_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",151
"GTR_CEP_0_40_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",152
"GTR_CEP_100_119_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",153
"GTR_CEP_10_30_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",154
"GTR_CEP_120_219_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",155
"GTR_CEP_40_49_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",156
"GTR_CEP_50_59_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",157
"GTR_CEP_50_70_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",158
"GTR_CEP_60_79_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",159
"GTR_CEP_80_99_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",160
"GTR_CEP_90_99_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",161
"GTR_CEP_>=100_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",162
"GTR_CEP_>=220_0",NA,NA,NA,"GTR_CEP","GTR",NA,"Static","Trammel","Static",163
"GTR_CRU_0-0_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",164
"GTR_CRU_0_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",165
"GTR_CRU_0_40_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",166
"GTR_CRU_10-30_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",167
"GTR_CRU_100-119_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",168
"GTR_CRU_100_119_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",169
"GTR_CRU_10_30_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",170
"GTR_CRU_120-219_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",171
"GTR_CRU_120_219_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",172
"GTR_CRU_40_49_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",173
"GTR_CRU_50_59_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",174
"GTR_CRU_50_70_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",175
"GTR_CRU_60_79_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",176
"GTR_CRU_80_99_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",177
"GTR_CRU_90_99_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",178
"GTR_CRU_>=100_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",179
"GTR_CRU_>=220_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",180
"GTR_CRU_>=220_0_0",NA,NA,NA,"GTR_CRU","GTR",NA,"Static","Trammel","Static",181
"GTR_DEF_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",182
"GTR_DEF_0-0_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",183
"GTR_DEF_0_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",184
"GTR_DEF_0_40_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",185
"GTR_DEF_10-30_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",186
"GTR_DEF_100-119_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",187
"GTR_DEF_100_119_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",188
"GTR_DEF_10_30_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",189
"GTR_DEF_110-156_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",190
"GTR_DEF_120-219_0_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",191
"GTR_DEF_120_219_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",192
"GTR_DEF_40_49_0",NA,NA,NA,"GTR_DEF","GTR",NA,"Static","Trammel","Static",193
"LLS_ANA_10-30_0_0",NA,NA,NA,"LLS_ANA","LLS",NA,"Static","Longlines","Static",194
"LLS_CAT_0_0_0",NA,NA,NA,"LLS_CAT","LLS",NA,"Static","Longlines","Static",195
"LLS_CAT_10-30_0_0",NA,NA,NA,"LLS_CAT","LLS",NA,"Static","Longlines","Static",196
"LLS_CRU_0",NA,NA,NA,"LLS_CRU","LLS",NA,"Static","Longlines","Static",197
"LLS_CRU_0-0_0_0",NA,NA,NA,"LLS_CRU","LLS",NA,"Static","Longlines","Static",198
"LLS_CRU_349",NA,NA,NA,"LLS_CRU","LLS",NA,"Static","Longlines","Static",199
"LLS_DEF_-_0_0",NA,NA,NA,"LLD_DEF","LLD",NA,"Static","Longlines","Static",200
"LLS_DEF_0",NA,NA,NA,"LLD_DEF","LLD",NA,"Static","Longlines","Static",201
"LLS_DEF_0_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",202
"LLS_DEF_10-30_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",203
"LLS_DEF_110-156_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",204
